Searchable,,Searchable,Searchable,Searchable,,,,
String,Float,String,,String,Float,String,float,String
name,number,department,LevelLong,PrimaryDept,level,Type,rating,philosophyDept
Social Psychology,20437,PSY ,252,PSY,2,Seminar,2,Other
Research Methods in Psychology,20465,PSY ,300,PSY,3,Class,1,PhilosophyCore
Educational Psychology,20469,PSY ,307,PSY,3,Lecture,0,Other
Psychology of Face Perception,20481,PSY ,411,PSY,4,Seminar,2,PhilosophyCore
Proseminar: Cognitive Psychology,20436,PSY ,501,PSY,5,Class,4,Other
Research Seminar in Cognitive Psychology,20450,PSY ,543,PSY,5,Lecture,4,PhilosophyCore
Social Psychological Research,20464,PSY ,551,PSY,5,Seminar,2,Other
Developmental Psychology,20451,PSY CGS ,254 254 ,PSY,2,Class,2,PhilosophyCore
Psychology of Language,20470,PSY LIN ,309 309 ,PSY,3,Lecture,0,Other
Neuroeconomics,22744,PSY NEU ,340 340 ,PSY,3,Seminar,3,PhilosophyCore
Sensation and Perception,20474,PSY NEU ,345 325 ,PSY,3,Class,3,Other
Responsible Conduct of Research (Half-Te,20468,PSY NEU ,591A 591A ,PSY,5,Lecture,0,PhilosophyCore
Research Topics in QCB,21610,QCB ,302,QCB,3,Seminar,4,Other
Genomics & Computational Mol Bio,22192,QCB MOL COS ,455 455 455 ,QCB,4,Class,2,PhilosophyCore
Topics in Biophysics & Quantitative Bio: Statistical Mechanics for Real Biological Networks,21656,QCB PHY ,505 555 ,QCB,5,Lecture,1,Other
Method and Logic in Quantitative Biology,21600,QCB PHY EEB CHM MOL ,515 570 517 517 515 ,QCB,5,Seminar,1,PhilosophyCore
The Buddhist World of Thought & Practice,21840,REL ,225,REL,2,Class,1,Other
Jesus: How Christianity Began,21832,REL ,252,REL,2,Lecture,3,PhilosophyCore
The Theology of Thomas Aquinas,22836,REL ,293,REL,2,Seminar,4,Other
Mind and Meditation,21822,REL ,324,REL,3,Class,2,PhilosophyCore
Madness and the Medicalization,22752,REL ,394,REL,3,Lecture,1,Other
Junior Colloquium (Non-credit),21830,REL ,399,REL,3,Seminar,0,PhilosophyCore
Religion& the Tradition of Social Theory,21850,REL ,501,REL,5,Class,2,Other
Studies in Greco-Roman Religions: Introduction to Judaism in the Greco-Roman World,21805,REL ,504,REL,5,Lecture,1,PhilosophyCore
Studies in the Religions of the Americas: Religion in America to 1865,21838,REL ,505,REL,5,Seminar,0,Other
"Special Topics in the Study of Religion: ""God-less"": The History of Atheism in America",21804,REL ,510,REL,5,Class,2,PhilosophyCore
Special Topics in the Study of Religion: Papyrology and Late Antique History,21926,REL ,511,REL,5,Lecture,2,Other
Religion and Critical Thought Workshop,21689,REL ,518,REL,5,Seminar,1,PhilosophyCore
Religion and Culture Workshop,21892,REL ,521,REL,5,Class,2,Other
Religion in the Americas Workshop,21839,REL ,523,REL,5,Lecture,4,PhilosophyCore
Religions of Late Antiquity,21837,REL ,525,REL,5,Seminar,4,Other
Studies in Japanese Religions: Issues in Scholarship,21847,REL ,534,REL,5,Class,1,PhilosophyCore
African American Religious History,21690,REL AAS ,256 256 ,REL,2,Lecture,4,Other
Race and Religion in America,21851,REL AAS AMS ,377 376 378 ,REL,3,Seminar,1,PhilosophyCore
"""Cult"" Controversies in America",22749,REL AMS ,271 341 ,REL,2,Class,2,Other
"Migration, Religion, and Literature",22751,REL HUM JDS COM ,330 330 331 382 ,REL,3,Lecture,2,PhilosophyCore
Who Wrote the Bible,21854,REL JDS ,230 230 ,REL,2,Seminar,4,Other
Ancient Judaism: Alexander to Islam,21824,REL JDS ,246 246 ,REL,2,Class,3,PhilosophyCore
Jewish Ethics,22753,REL JDS ,398 398 ,REL,3,Lecture,2,Other
Studies in the History of Islam: Legal Categories and Social Realities,21831,REL NES ,509 510 ,REL,5,Seminar,3,PhilosophyCore
Beginner's Russian I,21347,RUS ,101,RUS,1,Class,3,Other
Beginner's Russian I,21348,RUS ,101,RUS,1,Lecture,2,PhilosophyCore
Beginner's Russian I,21349,RUS ,101,RUS,1,Seminar,2,Other
Russian for Heritage Speakers,21023,RUS ,103,RUS,1,Class,4,PhilosophyCore
Intermediate Russian I,21351,RUS ,105,RUS,1,Lecture,1,Other
Advanced Russian Reading/Conversation I,20556,RUS ,207,RUS,2,Seminar,3,PhilosophyCore
Russian for Academic Purposes I,21383,RUS ,549,RUS,5,Class,4,Other
Elementary Sanskrit I,22210,SAN ,101,SAN,1,Lecture,1,PhilosophyCore
Intermediate Sanskrit I,22212,SAN ,105,SAN,1,Seminar,2,Other
Mythology of Classical India,22220,SAS ,332,SAS,3,Class,2,PhilosophyCore
Popular Trends in South Asian Literature,21550,SAS COM ,340 322 ,SAS,3,Lecture,1,Other
Islam in South Asia: Literary Perspectiv,22219,SAS REL ,345 345 ,SAS,3,Seminar,3,PhilosophyCore
Photographic Modernisms: Russia and the,22838,SLA COM ,509 505 ,SLA,5,Class,3,Other
History of Emotions: Russia and the West,22843,SLA COM ,510 507 ,SLA,5,Lecture,4,PhilosophyCore
"Pushkin, Gogol, Dostoevsky: Introduction",21338,SLA RES ,219 219 ,SLA,2,Seminar,1,Other
Russian Drama,20844,SLA RES ,312 312 ,SLA,3,Class,3,PhilosophyCore
Introduction to Data Science,22342,SML ,201,SML,2,Lecture,3,Other
Introduction to Data Science,22343,SML ,201,SML,2,Seminar,4,PhilosophyCore
Introduction to Sociology,20384,SOC ,101,SOC,1,Class,3,Other
Sociology of Religion,21762,SOC ,211,SOC,2,Lecture,0,PhilosophyCore
Claims and Evidence in Sociology,20422,SOC ,300,SOC,3,Seminar,3,Other
"Studying Local, Writing Ethnography",21983,SOC ,330,SOC,3,Class,0,PhilosophyCore
SOC of Social Movements in the U.S.,22754,SOC ,334,SOC,3,Lecture,4,Other
"Sociology of the Cubicle: Work, Tech.",20428,SOC ,346,SOC,3,Seminar,1,PhilosophyCore
Applied Social Statistics,20637,SOC ,400,SOC,4,Class,2,Other
Simulating Social Processes:,22844,SOC ,411,SOC,4,Lecture,0,PhilosophyCore
Applied Social Statistics,20009,SOC ,500,SOC,5,Seminar,2,Other
Classical Sociological Theory,20012,SOC ,501,SOC,5,Class,2,PhilosophyCore
Seminar in Empirical Investigation,20013,SOC ,505,SOC,5,Lecture,2,Other
Religion and Public Life,20015,SOC ,527,SOC,5,Seminar,3,PhilosophyCore
Economic Sociology (Half-Term),21549,SOC ,541,SOC,5,Class,1,Other
Workshop on Social Organization,20018,SOC ,549,SOC,5,Lecture,2,PhilosophyCore
Organizational Ethnography (Half-Term),22833,SOC ,559,SOC,5,Seminar,1,Other
Urban Sociology,20402,SOC LAS URB LAO ,210 210 210 210 ,SOC,2,Class,2,PhilosophyCore
Res Ethics & Sci Integrity (Half-Term),20014,SOC POP ,506 506 ,SOC,5,Lecture,2,Other
Race and Ethnicity,20392,SOC URB ,227 227 ,SOC,2,Seminar,4,PhilosophyCore
Beginner's Spanish I,21531,SPA ,101,SPA,1,Class,1,Other
Beginner's Spanish I,22785,SPA ,101,SPA,1,Lecture,0,PhilosophyCore
Beginner's Spanish I,21532,SPA ,101,SPA,1,Seminar,2,Other
Beginner's Spanish I,22786,SPA ,101,SPA,1,Class,3,PhilosophyCore
Beginner's Spanish I,22787,SPA ,101,SPA,1,Lecture,2,Other
Beginner's Spanish I,22788,SPA ,101,SPA,1,Seminar,1,PhilosophyCore
Beginner's Spanish I,21533,SPA ,101,SPA,1,Class,1,Other
Beginner's Spanish I,21534,SPA ,101,SPA,1,Lecture,1,PhilosophyCore
Beginner's Spanish I,22789,SPA ,101,SPA,1,Seminar,3,Other
Beginner's Spanish I,22790,SPA ,101,SPA,1,Class,4,PhilosophyCore
Beginner's Spanish I,22791,SPA ,101,SPA,1,Lecture,1,Other
Beginner's Spanish I,22792,SPA ,101,SPA,1,Seminar,3,PhilosophyCore
Beginner's Spanish I,21535,SPA ,101,SPA,1,Class,4,Other
Intensive Beginner's & Intermed Spanish,21538,SPA ,103,SPA,1,Lecture,2,PhilosophyCore
Intensive Beginner's & Intermed Spanish,21536,SPA ,103,SPA,1,Seminar,1,Other
Intensive Beginner's & Intermed Spanish,22793,SPA ,103,SPA,1,Class,0,PhilosophyCore
Intensive Beginner's & Intermed Spanish,21537,SPA ,103,SPA,1,Lecture,4,Other
Intensive Beginner's & Intermed Spanish,22794,SPA ,103,SPA,1,Seminar,2,PhilosophyCore
Intensive Beginner's & Intermed Spanish,22795,SPA ,103,SPA,1,Class,4,Other
Intensive Beginner's & Intermed Spanish,21539,SPA ,103,SPA,1,Lecture,4,PhilosophyCore
Intermediate Spanish,21541,SPA ,105,SPA,1,Seminar,0,Other
Intermediate Spanish,21542,SPA ,105,SPA,1,Class,0,PhilosophyCore
Intermediate Spanish,21545,SPA ,105,SPA,1,Lecture,4,Other
Intermediate Spanish,21543,SPA ,105,SPA,1,Seminar,1,PhilosophyCore
Intermediate Spanish,21544,SPA ,105,SPA,1,Class,2,Other
Intermediate Spanish,21546,SPA ,105,SPA,1,Lecture,0,PhilosophyCore
Intermediate Spanish,21547,SPA ,105,SPA,1,Seminar,4,Other
Intermediate/Advanced Spanish,21555,SPA ,107,SPA,1,Class,4,PhilosophyCore
Intermediate/Advanced Spanish,21554,SPA ,107,SPA,1,Lecture,2,Other
Intermediate/Advanced Spanish,21562,SPA ,107,SPA,1,Seminar,1,PhilosophyCore
Intermediate/Advanced Spanish,21556,SPA ,107,SPA,1,Class,4,Other
Intermediate/Advanced Spanish,21557,SPA ,107,SPA,1,Lecture,1,PhilosophyCore
Intermediate/Advanced Spanish,21563,SPA ,107,SPA,1,Seminar,4,Other
Intermediate/Advanced Spanish,21564,SPA ,107,SPA,1,Class,1,PhilosophyCore
Intermediate/Advanced Spanish,21565,SPA ,107,SPA,1,Lecture,1,Other
Intermediate/Advanced Spanish,23031,SPA ,107,SPA,1,Seminar,0,PhilosophyCore
Intermediate/Advanced Spanish,21566,SPA ,107,SPA,1,Class,1,Other
Advanced Spanish,21573,SPA ,108,SPA,1,Lecture,4,PhilosophyCore
Advanced Spanish,21574,SPA ,108,SPA,1,Seminar,1,Other
Advanced Spanish,21583,SPA ,108,SPA,1,Class,1,PhilosophyCore
Advanced Spanish,21575,SPA ,108,SPA,1,Lecture,1,Other
Advanced Spanish,21576,SPA ,108,SPA,1,Seminar,0,PhilosophyCore
Advanced Spanish,21584,SPA ,108,SPA,1,Class,4,Other
Medical Spanish,21585,SPA ,205,SPA,2,Lecture,3,PhilosophyCore
Medical Spanish,21603,SPA ,205,SPA,2,Seminar,0,Other
Studies in Spanish Language and Style,21605,SPA ,207,SPA,2,Class,3,PhilosophyCore
Studies in Spanish Language and Style,21604,SPA ,207,SPA,2,Lecture,1,Other
Studies in Spanish Language and Style,21606,SPA ,207,SPA,2,Seminar,4,PhilosophyCore
Studies in Spanish Language and Style,21609,SPA ,207,SPA,2,Class,3,Other
Spanish Lang and Culture Through Cinema,21631,SPA ,209,SPA,2,Lecture,3,PhilosophyCore
Spanish Lang and Culture Through Cinema,22796,SPA ,209,SPA,2,Seminar,1,Other
Spanish Lang and Culture Through Cinema,21632,SPA ,209,SPA,2,Class,2,PhilosophyCore
Spanish Lang and Culture Through Cinema,22797,SPA ,209,SPA,2,Lecture,4,Other
Advanced Spanish Language and Style,21636,SPA ,307,SPA,3,Seminar,0,PhilosophyCore
Advanced Spanish Language and Style,21637,SPA ,307,SPA,3,Class,0,Other
Advanced Spanish Language and Style,23060,SPA ,307,SPA,3,Lecture,2,PhilosophyCore
Seminar in Medieval Spanish Literature: Foundational Fictions,20866,SPA ,534,SPA,5,Seminar,4,Other
"Seminar in Modern Spanish Literature: Repression and resistance in Spain, 1950-1975",20867,SPA ,543,SPA,5,Class,0,PhilosophyCore
Synthetic Skin,21068,SPA ,554,SPA,5,Lecture,0,Other
Contemporary Issues in Spain,21359,SPA EPS URB ,227 227 237 ,SPA,2,Seminar,0,PhilosophyCore
Hispanic Studies: Cultural Analysis,21355,SPA LAS ,224 224 ,SPA,2,Class,3,Other
Shipwreck and Other Disasters,21894,SPA LAS ,235 235 ,SPA,2,Lecture,4,PhilosophyCore
Identity in the Hispanic World,21895,SPA LAS ,250 250 ,SPA,2,Seminar,4,Other
Topics in Latin American Modernity: Latin American Literature after Latin America,21429,SPA LAS ,342 342 ,SPA,3,Class,4,PhilosophyCore
Narrative Prose in Latin America: Cuban Cultural History 1868-2017,21017,SPA LAS ,547 547 ,SPA,5,Lecture,4,Other
Topics in Latin Am. Cultural Studies: Spectacles of Nature: Patagonia and the Tropics,22133,SPA LAS ENV ,350 349 351 ,SPA,3,Seminar,3,PhilosophyCore
Radical Women in Latin America,22236,SPA LAS LAO ,329 389 389 ,SPA,3,Class,3,Other
Junior Seminar,21428,SPA POR LAS ,330 330 390 ,SPA,3,Lecture,4,PhilosophyCore
Spanish-English Translation,21634,SPA TRA ,210 210 ,SPA,2,Seminar,2,Other
Elementary Swahili I,21579,SWA ,101,SWA,1,Class,4,PhilosophyCore
Intermediate Swahili I,21580,SWA ,105,SWA,1,Lecture,4,Other
Introduction to Theater Making,22765,THR ,101,THR,1,Seminar,4,PhilosophyCore
Community-Based Performance,20965,THR ,337,THR,3,Class,3,Other
Autobiographical Storytelling,21029,THR CWR AAS HUM THR CWR AAS HUM ,340 340 343 340 340 340 343 340 ,THR,3,Lecture,3,PhilosophyCore
Storytelling with Technology for Perform,22768,THR STC ,210A 210A ,THR,2,Seminar,0,Other
Storytelling with Technology for Perform,22766,THR STC ,210B 210B ,THR,2,Class,1,PhilosophyCore
Beginning Studies in Acting,21172,THR THR ,201 201 ,THR,2,Lecture,4,Other
Introductory Playwriting,20944,THR THR ,205 205 ,THR,2,Seminar,3,PhilosophyCore
Intermediate Studies in Acting,21174,THR THR ,301 301 ,THR,3,Class,0,Other
Directing Workshop,20945,THR THR ,411 411 ,THR,4,Lecture,2,PhilosophyCore
Theatrical Design Studio,20964,THR VIS ,400 400 ,THR,4,Seminar,0,Other
Student Learning & Methods for Teaching,22397,TPP ,301,TPP,3,Class,2,PhilosophyCore
Seminar on Education-Theory and Practice,22399,TPP ,401,TPP,4,Lecture,0,Other
Practice Teaching,22400,TPP ,402,TPP,4,Seminar,3,PhilosophyCore
Senior Seminar in Translation,21666,TRA COM ,400 409 ,TRA,4,Class,3,Other
Thinking Translation: Language Transfer,21586,TRA COM HUM ,200 209 209 ,TRA,2,Lecture,4,PhilosophyCore
Elementary Turkish I,20153,TUR ,101,TUR,1,Seminar,2,Other
Intermediate Turkish I,20154,TUR ,105,TUR,1,Class,0,PhilosophyCore
Elementary Twi I,21567,TWI ,101,TWI,1,Lecture,2,Other
Intermediate Twi I,21570,TWI ,105,TWI,1,Seminar,1,PhilosophyCore
Documentary Film and the City,21640,URB HIS HUM VIS ,202 202 202 200 ,URB,2,Class,0,Other
Urban Studies Research Seminar,21540,URB HUM ARC WWS ,300 300 300 392 ,URB,3,Lecture,4,PhilosophyCore
Mapping Gentrification,21548,URB SOC HUM ARC ,385 385 385 385 ,URB,3,Seminar,2,Other
Urbanism and Urban Policy,20342,URB WWS SOC ,200 210 200 ,URB,2,Class,4,PhilosophyCore
Intermediate Urdu I,22216,URD ,105,URD,1,Lecture,1,Other
Analog Photography,21434,VIS ,211,VIS,2,Seminar,2,PhilosophyCore
Digital Photography,21435,VIS ,213,VIS,2,Class,4,Other
Digital Photography,21436,VIS ,213,VIS,2,Lecture,4,PhilosophyCore
Digital Photography,21437,VIS ,213,VIS,2,Seminar,1,Other
Digital Animation,22830,VIS ,220,VIS,2,Class,4,PhilosophyCore
Narrative Filmmaking,21451,VIS ,264,VIS,2,Lecture,2,Other
Short Comedy Filmmaking,22823,VIS ,308,VIS,3,Seminar,0,PhilosophyCore
Portraiture Photography,21441,VIS ,315,VIS,3,Class,1,Other
Art As Research,21442,VIS ,322,VIS,3,Lecture,1,PhilosophyCore
Advanced Drawing: The Figure,21445,VIS ,401,VIS,4,Seminar,3,Other
Exhibition Issues and Methods,21446,VIS ,416,VIS,4,Class,4,PhilosophyCore
Film Blackness,22951,VIS AAS ,307 307 ,VIS,3,Lecture,1,Other
Graphic Design,21438,VIS ARC CWR VIS ARC CWR ,214 214 214 214 214 214 ,VIS,2,Seminar,3,PhilosophyCore
Drawing I,21430,VIS ARC VIS ARC ,201 201 201 201 ,VIS,2,Class,2,Other
Drawing I,21431,VIS ARC VIS ARC ,201 201 201 201 ,VIS,2,Lecture,2,PhilosophyCore
Painting I,21432,VIS ARC VIS ARC ,203 327 203 327 ,VIS,2,Seminar,4,Other
Painting I,21433,VIS ARC VIS ARC ,203 327 203 327 ,VIS,2,Class,3,PhilosophyCore
Issues in Contemporary Art,21443,VIS ART ,392 392 ,VIS,3,Lecture,1,Other
Extraordinary Processes,21447,VIS CEE ,418 418 ,VIS,4,Seminar,1,PhilosophyCore
Graphic Design: Typography,21449,VIS CWR VIS CWR ,215 215 215 215 ,VIS,2,Class,2,Other
Directing and Acting for the Screen,22835,VIS THR ,324 345 ,VIS,3,Lecture,4,PhilosophyCore
Graphic Design: Visual Form,21439,VIS VIS ,216 216 ,VIS,2,Seminar,3,Other
Introductory Sculpture,21440,VIS VIS ,221 221 ,VIS,2,Class,4,PhilosophyCore
Documentary Filmmaking,21444,VIS VIS ,263 263 ,VIS,2,Lecture,0,Other
U.S. Military/National and International,20943,WWS ,318,WWS,3,Seminar,4,PhilosophyCore
Insurgency and Counterinsurgency,21893,WWS ,320,WWS,3,Class,4,Other
Extramural Public Policy Fellowship,23132,WWS ,500,WWS,5,Lecture,3,PhilosophyCore
The Politics of Public Policy,22358,WWS ,501,WWS,5,Seminar,2,Other
Management of Non-Profit Organizations,23133,WWS ,503,WWS,5,Class,1,PhilosophyCore
Quantitative Analysis for Policymakers,22359,WWS ,507B ,WWS,5,Lecture,1,Other
Quant. Analysis for Policymakers (Adv),22362,WWS ,507C ,WWS,5,Seminar,2,PhilosophyCore
Microeconomic Analysis for Policymakers,22364,WWS ,511B ,WWS,5,Class,0,Other
Microecon. Analysis for Policy (Adv),22367,WWS ,511C ,WWS,5,Lecture,0,PhilosophyCore
Program and Policy Evaluation,22370,WWS ,515B ,WWS,5,Seminar,0,Other
Domestic Politics,22371,WWS ,521,WWS,5,Class,3,PhilosophyCore
Microeconomic Analysis/Domestic Policy,22372,WWS ,522,WWS,5,Lecture,3,Other
Advanced Macroeconomics,22383,WWS ,524,WWS,5,Seminar,4,PhilosophyCore
Topics in Domestic Policy Analysis: Implementing Urban Economic Development,22387,WWS ,527A ,WWS,5,Class,0,Other
Domestic Policy Analysis: Social Entrepreneurship and Innovation,23149,WWS ,528F ,WWS,5,Lecture,4,PhilosophyCore
Great Leadership in Hist. Perspective,22373,WWS ,529,WWS,5,Seminar,3,Other
Planning Methods,22388,WWS ,535,WWS,5,Class,3,PhilosophyCore
International Politics,22375,WWS ,541,WWS,5,Lecture,2,Other
International Economics,22376,WWS ,542,WWS,5,Seminar,4,PhilosophyCore
National Security Policy,22384,WWS ,549,WWS,5,Class,2,Other
PhD Gateway in Security Studies,22392,WWS ,550,WWS,5,Lecture,0,PhilosophyCore
Economic Analysis of Development:Basic,22470,WWS ,562B ,WWS,5,Seminar,2,Other
Economic Analysis of Development:Adv,22471,WWS ,562C ,WWS,5,Class,4,PhilosophyCore
Topics in Development: International Policy Responses to State Fragility,23134,WWS ,571A ,WWS,5,Lecture,3,Other
Topics in Economics: Energy Economics,22382,WWS ,581C ,WWS,5,Seminar,4,PhilosophyCore
Policy Workshop: Reforming the Port Authority of New York and New Jersey,23135,WWS ,591A ,WWS,5,Class,1,Other
Policy Workshop: Managing Elections in Fragile States,23136,WWS ,591B ,WWS,5,Lecture,0,PhilosophyCore
Policy Workshop: The Middle East Peace Process,23137,WWS ,591C ,WWS,5,Seminar,0,Other
Policy Workshop: State-Level Policies on Renewables in the Energy Sector,23138,WWS ,591D ,WWS,5,Class,3,PhilosophyCore
"Policy Workshop: Policy, Operational & Political Implementation Challenges of the ACA",22489,WWS ,591E ,WWS,5,Lecture,1,Other
Policy Workshop: Ensuring the Long Run Impact of MCC Country Compacts,23139,WWS ,591F ,WWS,5,Seminar,3,PhilosophyCore
Policy Workshop: Current Issues of Health Policy in India,23140,WWS ,591G ,WWS,5,Class,4,Other
Policy Workshop: Managing Transformational Change in K-12 Education,23141,WWS ,591H ,WWS,5,Lecture,0,PhilosophyCore
Topics in Policy Analysis (Half-Term): Eurozone Crisis and Beyond,22554,WWS ,593B ,WWS,5,Seminar,2,Other
Topics in Policy Analysis (Half-Term): The Federal Budget,22491,WWS ,593F ,WWS,5,Class,0,PhilosophyCore
Topics in Policy Analysis (Half-Term): Monetary Policy during the Great Recession,23142,WWS ,593G ,WWS,5,Lecture,1,Other
Topics in Policy Analysis (Half-Term): International Macroeconomics,23143,WWS ,593H ,WWS,5,Seminar,4,PhilosophyCore
Topics in Policy Analysis (Half-Term): Contested Multilateralism,23144,WWS ,593J ,WWS,5,Class,1,Other
Topics in Policy Analysis (Half-Term): Legal Skills for Policymakers,22492,WWS ,593L ,WWS,5,Lecture,0,PhilosophyCore
Topics in Policy Analysis (Half-Term): Writing for Policymakers and the Public,23151,WWS ,593M ,WWS,5,Seminar,2,Other
Topics in Policy Analysis (Half-Term): GIS for Public Policy,22493,WWS ,593N ,WWS,5,Class,1,PhilosophyCore
Topics in Policy Analysis (Half-Term): Affordable Housing,23146,WWS ,593O ,WWS,5,Lecture,1,Other
Topics in Policy Analysis (Half-Term): Impact Evaluation Tools,23147,WWS ,593Q ,WWS,5,Seminar,0,PhilosophyCore
Topics in Policy Analysis (Half-Term): Empirical Macroeconomics: Applied Time Series Analysis,23148,WWS ,593Z ,WWS,5,Class,0,Other
Civil Society and Public Policy,20885,WWS AMS ,385 350 ,WWS,3,Lecture,3,PhilosophyCore
International Development,22890,WWS ECO ,302 359 ,WWS,3,Seminar,4,Other
Public Economics,20873,WWS ECO ,307 349 ,WWS,3,Class,0,PhilosophyCore
Environmental Economics,20878,WWS ECO ENV ,306 329 319 ,WWS,3,Lecture,0,Other
Modern Genetics and Public Policy,22143,WWS GHP ,354 354 ,WWS,3,Seminar,0,PhilosophyCore
Financial History,21974,WWS HIS ,466 467 ,WWS,4,Class,1,Other
Topics in International Relations: International Strategy,22377,WWS POL ,556C 580 ,WWS,5,Lecture,2,PhilosophyCore
Comparative Political Economy of Develop,22378,WWS POL ,561 523 ,WWS,5,Seminar,0,Other
Ethics and Public Policy,22119,WWS POL CHV ,370 308 301 ,WWS,3,Class,3,PhilosophyCore
Comparative Constitutional Law,22142,WWS POL CHV ,421 479 470 ,WWS,4,Lecture,4,Other
"Poverty,Inequality & Health in the World",22389,WWS POP ,564 564 ,WWS,5,Seminar,1,PhilosophyCore
Psychology of Decision Making/Judgment,22266,WWS PSY ,340 321 ,WWS,3,Class,0,Other
Social Organization of Cities,22374,WWS SOC ,537 537 ,WWS,5,Lecture,0,PhilosophyCore
"Topics in Policy Analysis (Half-Term): Surveys, Polls and Public Policy",22490,WWS SOC ,593E 585 ,WWS,5,Seminar,0,Other
International Trade Policy,23150,WWS WWS ,543 543 ,WWS,5,Class,4,PhilosophyCore
